variable,group,year,p25,p50,p75,group_value,central_statistic,economies,gdp_weighted_average,weighted_economies,table2_target
g_real,AE,2000,3.6076,4.2125,5.7973,4.2125,country_median,39,4.0757,39,1.6
g_real,AE,2001,1.3608,2.5251,3.9192,2.5251,country_median,41,1.3732,41,1.6
g_real,AE,2002,1.2089,2.5095,4.6489,2.5095,country_median,42,1.5068,42,1.6
g_real,AE,2003,1.3937,2.9763,4.3748,2.9763,country_median,42,1.9679,42,1.6
g_real,AE,2004,2.6185,4.2805,6.0789,4.2805,country_median,42,3.1116,42,1.6
g_real,AE,2005,2.3742,3.2126,5.6545,3.2126,country_median,42,2.769,42,1.6
g_real,AE,2006,2.8233,4.4346,5.9897,4.4346,country_median,42,2.9753,42,1.6
g_real,AE,2007,3.0044,4.6961,6.8012,4.6961,country_median,42,2.7099,42,1.6
g_real,AE,2008,-0.2664,0.8108,2.3696,0.8108,country_median,42,0.2875,42,1.6
g_real,AE,2009,-5.4553,-3.6283,-1.9529,-3.6283,country_median,42,-3.4998,42,1.6
g_real,AE,2010,1.1633,2.2718,4.0424,2.2718,country_median,42,3.0004,42,1.6
g_real,AE,2011,0.7345,1.7362,3.112,1.7362,country_median,42,1.6292,42,1.6
g_real,AE,2012,-0.9257,0.9591,2.3801,0.9591,country_median,42,1.2658,42,1.6
g_real,AE,2013,-0.2928,1.333,2.3052,1.333,country_median,42,1.4935,42,1.6
g_real,AE,2014,0.9168,2.2112,2.8457,2.2112,country_median,42,2.1485,42,1.6
g_real,AE,2015,1.4674,2.2521,3.2924,2.2521,country_median,42,2.4363,42,1.6
g_real,AE,2016,1.8516,2.3692,3.0887,2.3692,country_median,42,1.8091,42,1.6
g_real,AE,2017,2.2721,3.0285,3.7625,3.0285,country_median,42,2.5618,42,1.6
g_real,AE,2018,1.6511,2.8095,3.6137,2.8095,country_median,42,2.3231,42,1.6
g_real,AE,2019,1.3797,2.1893,3.0356,2.1893,country_median,42,1.8722,42,1.6
g_real,AE,2020,-6.6206,-3.7437,-2.0511,-3.7437,country_median,42,-3.7637,42,1.6
g_real,AE,2021,5.3973,6.4766,8.5115,6.4766,country_median,42,6.075,42,1.6
g_real,AE,2022,2.0424,3.2758,5.2856,3.2758,country_median,42,3.0174,42,1.6
g_real,AE,2023,0.2919,1.4664,2.3272,1.4664,country_median,42,1.822,42,1.6
g_real,EMDE,2000,1.7602,4.209,6.0551,4.209,country_median,141,5.4082,141,3.0
g_real,EMDE,2001,1.3353,3.4912,5.5847,3.4912,country_median,147,3.2166,147,3.0
g_real,EMDE,2002,1.4453,3.7473,5.5695,3.7473,country_median,147,4.3,147,3.0
g_real,EMDE,2003,2.2217,4.7314,7.036,4.7314,country_median,148,5.961,148,3.0
g_real,EMDE,2004,3.3888,5.3418,7.4094,5.3418,country_median,148,7.5879,148,3.0
g_real,EMDE,2005,3.0722,5.4,7.3699,5.4,country_median,149,6.7632,149,3.0
g_real,EMDE,2006,3.9475,5.6038,7.9037,5.6038,country_median,149,7.6766,149,3.0
g_real,EMDE,2007,3.2536,5.9916,8.1558,5.9916,country_median,149,7.9581,149,3.0
g_real,EMDE,2008,2.658,4.881,7.1993,4.881,country_median,149,5.6062,149,3.0
g_real,EMDE,2009,-1.9003,1.3131,4.5331,1.3131,country_median,149,2.4432,149,3.0
g_real,EMDE,2010,2.6202,5.0395,7.5134,5.0395,country_median,149,7.3297,149,3.0
g_real,EMDE,2011,2.9909,4.875,6.8658,4.875,country_median,148,6.3375,148,3.0
g_real,EMDE,2012,1.8859,4.4584,6.4775,4.4584,country_median,150,5.3927,150,3.0
g_real,EMDE,2013,2.4168,3.9419,5.8163,3.9419,country_median,150,4.9891,150,3.0
g_real,EMDE,2014,1.7355,4.0243,5.6992,4.0243,country_median,150,4.6799,150,3.0
g_real,EMDE,2015,1.1305,3.2525,4.9535,3.2525,country_median,151,4.4456,151,3.0
g_real,EMDE,2016,1.5575,3.4499,5.0499,3.4499,country_median,151,4.354,151,3.0
g_real,EMDE,2017,1.5571,3.8155,5.1563,3.8155,country_median,151,4.8315,151,3.0
g_real,EMDE,2018,1.6389,3.4884,5.2831,3.4884,country_median,151,4.8051,151,3.0
g_real,EMDE,2019,1.2482,3.1995,5.3666,3.1995,country_median,151,3.9697,151,3.0
g_real,EMDE,2020,-8.0583,-3.4694,-0.7095,-3.4694,country_median,150,-1.3331,150,3.0
g_real,EMDE,2021,2.1217,4.8485,7.8594,4.8485,country_median,150,7.3039,150,3.0
g_real,EMDE,2022,2.6769,4.6357,6.4294,4.6357,country_median,150,4.0848,150,3.0
g_real,EMDE,2023,1.9784,3.7541,5.1695,3.7541,country_median,150,4.3526,150,3.0
