horizon_quarter,shock,variable,pct_dev
1,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.401
2,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.21
3,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.226
4,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.235
5,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.242
6,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.248
7,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.253
8,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.259
9,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.264
10,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.27
11,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.275
12,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.28
13,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.286
14,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.291
15,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.296
16,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.301
17,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.306
18,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.311
19,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.316
20,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.321
21,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.326
22,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.331
23,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.336
24,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.34
25,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.345
26,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.35
27,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.354
28,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.359
29,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.363
30,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.368
31,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.372
32,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.376
33,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.381
34,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.385
35,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.389
36,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.393
37,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.398
38,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.402
39,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.406
40,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.41
41,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.414
42,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.418
43,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.421
44,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.425
45,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.429
46,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.433
47,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.437
48,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.44
49,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.444
50,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.447
51,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.451
52,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.454
53,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.458
54,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.461
55,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.465
56,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.468
57,Government consumption,Output (Y<sup>d</sup><sub>t</sub>),0.471
