experiment,instrument,param,param_value,is_baseline,yd_y0,yd_y1,yd_y2,yd_y3,yd_y4,yd_y5,yd_y6,yd_y7,yd_y8,yd_y9,yd_y10,yd_y11,yd_y12,yd_y13,yd_y14,yd_y15,yd_y16,yd_y17,yd_y18,yd_y19,yd_y20,yd_y21,yd_y22,yd_y23,yd_y24,yd_y25,yd_y26,yd_y27,yd_y28,yd_y29,yd_y30,yd_y31,yd_y32,yd_y33,yd_y34,yd_y35,yd_y36,yd_y37,yd_y38,yd_y39,yd_y40,yd_y41,yd_y42,yd_y43,yd_y44,yd_y45,yd_y46,yd_y47,yd_y48,yd_y49,yd_y50,yd_q1,yd_q2,yd_q3,yd_q4,yd_q5,yd_q6,yd_q7,yd_q8,yd_q9,yd_q10,yd_q11,yd_q12,yd_q13,yd_q14,yd_q15,yd_q16,yd_q17,yd_q18,yd_q19,yd_q20,yd_q21,yd_q22,yd_q23,yd_q24,yd_q25,yd_q26,yd_q27,yd_q28,yd_q29,yd_q30,yd_q31,yd_q32,yd_q33,yd_q34,yd_q35,yd_q36,yd_q37,yd_q38,yd_q39,yd_q40,yd_q41,yd_q42,yd_q43,yd_q44,yd_q45,yd_q46,yd_q47,yd_q48,yd_q49,yd_q50,yd_q51,yd_q52,yd_q53,yd_q54,yd_q55,yd_q56,yd_q57,yd_q58,yd_q59,yd_q60,yd_q61,yd_q62,yd_q63,yd_q64,yd_q65,yd_q66,yd_q67,yd_q68,yd_q69,yd_q70,yd_q71,yd_q72,yd_q73,yd_q74,yd_q75,yd_q76,yd_q77,yd_q78,yd_q79,yd_q80,yd_q81,yd_q82,yd_q83,yd_q84,yd_q85,yd_q86,yd_q87,yd_q88,yd_q89,yd_q90,yd_q91,yd_q92,yd_q93,yd_q94,yd_q95,yd_q96,yd_q97,yd_q98,yd_q99,yd_q100
Model_HumanCapital_exp_gc_perm,Gc,baseline,,1,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.02,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.054,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.08,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.1,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.17,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,alphaG,0.2,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,mu,0.05,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,mu,0.1,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
Model_HumanCapital_exp_gc_perm,Gc,mu,0.15,0,0.000000,0.268062,0.250303,0.272391,0.293435,0.313669,0.333138,0.351858,0.369842,0.387103,0.403651,0.419503,0.434674,0.449183,0.463049,0.476292,0.488933,0.500992,0.512490,0.523450,0.533891,0.543836,0.553303,0.562314,0.570889,0.579045,0.586802,0.594178,0.601190,0.607855,0.614189,0.620207,0.625925,0.631356,0.636516,0.641416,0.646069,0.650487,0.654683,0.658666,0.662447,0.666037,0.669445,0.672679,0.675749,0.678662,0.681428,0.684052,0.686542,0.688906,0.691148,0.401275,0.209977,0.226066,0.234932,0.241595,0.247551,0.253247,0.258819,0.264310,0.269736,0.275104,0.280416,0.285674,0.290881,0.296038,0.301145,0.306203,0.311212,0.316174,0.321088,0.325955,0.330775,0.335547,0.340274,0.344954,0.349587,0.354175,0.358716,0.363212,0.367663,0.372068,0.376427,0.380742,0.385012,0.389237,0.393418,0.397555,0.401648,0.405697,0.409703,0.413666,0.417586,0.421463,0.425297,0.429090,0.432840,0.436549,0.440217,0.443844,0.447431,0.450976,0.454482,0.457948,0.461375,0.464763,0.468111,0.471422,0.474694,0.477928,0.481125,0.484285,0.487408,0.490494,0.493544,0.496558,0.499537,0.502481,0.505390,0.508264,0.511104,0.513910,0.516683,0.519422,0.522129,0.524803,0.527445,0.530055,0.532633,0.535180,0.537697,0.540182,0.542638,0.545063,0.547459,0.549826,0.552163,0.554472,0.556752,0.559005,0.561229,0.563427,0.565597,0.567740,0.569856,0.571947,0.574011,0.576050,0.578063,0.580052,0.582015
