experiment,instrument,param,param_value,is_baseline,yd_y0,yd_y1,yd_y2,yd_y3,yd_y4,yd_y5,yd_y6,yd_y7,yd_y8,yd_y9,yd_y10,yd_y11,yd_y12,yd_y13,yd_y14,yd_y15,yd_y16,yd_y17,yd_y18,yd_y19,yd_y20,yd_y21,yd_y22,yd_y23,yd_y24,yd_y25,yd_y26,yd_y27,yd_y28,yd_y29,yd_y30,yd_y31,yd_y32,yd_y33,yd_y34,yd_y35,yd_y36,yd_y37,yd_y38,yd_y39,yd_y40,yd_y41,yd_y42,yd_y43,yd_y44,yd_y45,yd_y46,yd_y47,yd_y48,yd_y49,yd_y50,yd_q1,yd_q2,yd_q3,yd_q4,yd_q5,yd_q6,yd_q7,yd_q8,yd_q9,yd_q10,yd_q11,yd_q12,yd_q13,yd_q14,yd_q15,yd_q16,yd_q17,yd_q18,yd_q19,yd_q20,yd_q21,yd_q22,yd_q23,yd_q24,yd_q25,yd_q26,yd_q27,yd_q28,yd_q29,yd_q30,yd_q31,yd_q32,yd_q33,yd_q34,yd_q35,yd_q36,yd_q37,yd_q38,yd_q39,yd_q40,yd_q41,yd_q42,yd_q43,yd_q44,yd_q45,yd_q46,yd_q47,yd_q48,yd_q49,yd_q50,yd_q51,yd_q52,yd_q53,yd_q54,yd_q55,yd_q56,yd_q57,yd_q58,yd_q59,yd_q60,yd_q61,yd_q62,yd_q63,yd_q64,yd_q65,yd_q66,yd_q67,yd_q68,yd_q69,yd_q70,yd_q71,yd_q72,yd_q73,yd_q74,yd_q75,yd_q76,yd_q77,yd_q78,yd_q79,yd_q80,yd_q81,yd_q82,yd_q83,yd_q84,yd_q85,yd_q86,yd_q87,yd_q88,yd_q89,yd_q90,yd_q91,yd_q92,yd_q93,yd_q94,yd_q95,yd_q96,yd_q97,yd_q98,yd_q99,yd_q100
Model_HumanCapital_exp_gc,Gc,baseline,,1,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.02,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.054,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.08,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.1,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.17,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,alphaG,0.2,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,mu,0.05,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,mu,0.1,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
Model_HumanCapital_exp_gc,Gc,mu,0.15,0,0.000000,0.208062,0.039282,-0.035995,-0.083506,-0.112598,-0.129538,-0.138471,-0.142147,-0.142392,-0.140421,-0.137044,-0.132800,-0.128050,-0.123034,-0.117913,-0.112792,-0.107742,-0.102809,-0.098020,-0.093395,-0.088941,-0.084664,-0.080566,-0.076643,-0.072894,-0.069314,-0.065898,-0.062641,-0.059536,-0.056578,-0.053762,-0.051081,-0.048529,-0.046101,-0.043792,-0.041595,-0.039507,-0.037521,-0.035634,-0.033840,-0.032135,-0.030515,-0.028975,-0.027513,-0.026123,-0.024803,-0.023550,-0.022359,-0.021228,-0.020154,0.439399,0.157124,0.132371,0.103353,0.075330,0.049637,0.026467,0.005695,-0.012879,-0.029460,-0.044241,-0.057401,-0.069098,-0.079476,-0.088666,-0.096785,-0.103938,-0.110222,-0.115721,-0.120513,-0.124669,-0.128251,-0.131316,-0.133916,-0.136096,-0.137900,-0.139364,-0.140523,-0.141407,-0.142044,-0.142460,-0.142676,-0.142715,-0.142593,-0.142327,-0.141934,-0.141426,-0.140815,-0.140114,-0.139331,-0.138476,-0.137558,-0.136583,-0.135559,-0.134491,-0.133385,-0.132246,-0.131079,-0.129886,-0.128673,-0.127443,-0.126198,-0.124941,-0.123674,-0.122400,-0.121122,-0.119839,-0.118555,-0.117270,-0.115987,-0.114705,-0.113427,-0.112153,-0.110884,-0.109620,-0.108364,-0.107114,-0.105872,-0.104638,-0.103413,-0.102196,-0.100989,-0.099792,-0.098604,-0.097427,-0.096259,-0.095103,-0.093957,-0.092822,-0.091697,-0.090584,-0.089481,-0.088390,-0.087310,-0.086240,-0.085182,-0.084135,-0.083100,-0.082075,-0.081062,-0.080059,-0.079068,-0.078087,-0.077117,-0.076159,-0.075211,-0.074274,-0.073347,-0.072431,-0.071526
